[2022-04-14 19:49:56,727: INFO/Beat] DatabaseScheduler: Schedule changed.
[2022-04-14 19:50:06,774: INFO/Beat] Scheduler: Sending due task test (notifications.tasks.test)
[2022-04-14 19:50:06,783: INFO/MainProcess] Task notifications.tasks.test[d4f67d1d-1c14-43b0-9805-eabd15e55e2c] received
[2022-04-14 19:50:06,785: WARNING/ForkPoolWorker-8] TASK!
[2022-04-14 19:50:06,788: INFO/ForkPoolWorker-8] Task notifications.tasks.test[d4f67d1d-1c14-43b0-9805-eabd15e55e2c] succeeded in 0.0031079999998837593s: None
[2022-04-14 19:50:16,772: INFO/Beat] Scheduler: Sending due task test (notifications.tasks.test)
[2022-04-14 19:50:16,775: INFO/MainProcess] Task notifications.tasks.test[20a84845-f4d9-4c3f-9a04-ca241d57700b] received
[2022-04-14 19:50:16,777: WARNING/ForkPoolWorker-8] TASK!
[2022-04-14 19:50:16,779: INFO/ForkPoolWorker-8] Task notifications.tasks.test[20a84845-f4d9-4c3f-9a04-ca241d57700b] succeeded in 0.00201429999924585s: None
[2022-04-14 19:50:26,997: INFO/Beat] Scheduler: Sending due task test (notifications.tasks.test)
[2022-04-14 19:50:27,003: INFO/MainProcess] Task notifications.tasks.test[5d115579-18cc-4e2d-ae89-1fbb1aa2ee9b] received
[2022-04-14 19:50:27,011: WARNING/ForkPoolWorker-8] TASK!
[2022-04-14 19:50:27,024: INFO/ForkPoolWorker-8] Task notifications.tasks.test[5d115579-18cc-4e2d-ae89-1fbb1aa2ee9b] succeeded in 0.012857599999733793s: None
[2022-04-14 19:50:31,780: INFO/MainProcess] beat: Shutting down...
